Tcp Connect,时间:2007-09-25 09:58:28;远程终结点:192.168.2.103:2420
Tcp Connect,时间:2007-09-25 09:58:51;远程终结点:192.168.2.103:2425
Tcp Connect,时间:2007-09-25 09:59:18;远程终结点:192.168.2.103:2431
Tcp Connect,时间:2007-10-11 12:42:44;远程终结点:192.168.2.103:2230
Tcp Connect,时间:2007-10-11 12:42:50;远程终结点:192.168.2.103:2232
Tcp Connect,时间:2008-05-06 13:49:49;远程终结点:218.207.136.10:19626
Tcp Connect,时间:2008-05-06 13:49:55;远程终结点:211.138.152.99:57498
Tcp Connect,时间:2008-05-06 13:49:56;远程终结点:211.138.152.105:17138
Tcp Connect,时间:2008-05-06 13:49:56;远程终结点:211.139.189.37:38005
Tcp Connect,时间:2008-05-06 13:49:57;远程终结点:211.137.63.82:36468
Tcp Connect,时间:2008-05-06 13:49:57;远程终结点:211.138.6.180:4819
Tcp Connect,时间:2008-05-06 13:49:57;远程终结点:211.136.228.69:26878
Tcp Connect,时间:2008-05-06 13:49:57;远程终结点:211.139.145.21:2307
Tcp Connect,时间:2008-05-06 13:49:58;远程终结点:211.139.189.37:38136
Tcp Connect,时间:2008-05-06 13:49:59;远程终结点:211.139.190.125:45736
Tcp Connect,时间:2008-05-06 13:50:00;远程终结点:211.139.189.38:48837
Tcp Connect,时间:2008-05-06 13:50:00;远程终结点:211.139.147.51:11643
Tcp Connect,时间:2008-05-06 13:50:03;远程终结点:211.138.152.100:57385
Tcp Connect,时间:2008-05-06 13:50:09;远程终结点:211.136.228.84:53492
Tcp Connect,时间:2008-05-06 13:50:09;远程终结点:211.139.147.51:11571
Tcp Connect,时间:2008-05-06 13:50:11;远程终结点:211.139.190.120:12067
Tcp Connect,时间:2008-05-06 13:50:11;远程终结点:211.139.14.98:55139
Tcp Connect,时间:2008-05-06 13:50:12;远程终结点:211.139.14.98:12515
Tcp Connect,时间:2008-05-06 13:50:12;远程终结点:211.139.14.98:15348
Tcp Connect,时间:2008-05-06 13:50:13;远程终结点:211.139.14.98:9514
Tcp Connect,时间:2008-05-06 13:50:13;远程终结点:211.138.201.147:57178
Tcp Connect,时间:2008-05-06 13:50:13;远程终结点:211.139.16.61:41190
Tcp Connect,时间:2008-05-06 13:50:13;远程终结点:211.139.14.98:13345
Tcp Connect,时间:2008-05-06 13:50:13;远程终结点:211.139.14.98:12202
Tcp Connect,时间:2008-05-06 13:50:14;远程终结点:211.139.145.22:61537
Tcp Connect,时间:2008-05-06 13:50:14;远程终结点:211.139.14.98:11713
Tcp Connect,时间:2008-05-06 13:50:15;远程终结点:211.139.145.213:45878
Tcp Connect,时间:2008-05-06 13:50:15;远程终结点:211.139.190.118:11900
Tcp Connect,时间:2008-05-06 13:50:16;远程终结点:211.139.145.18:4015
Tcp Connect,时间:2008-05-06 13:50:16;远程终结点:211.139.14.98:31343
Tcp Connect,时间:2008-05-06 13:50:18;远程终结点:211.139.14.98:35273
Tcp Connect,时间:2008-05-06 13:50:18;远程终结点:211.139.14.98:34420
Tcp Connect,时间:2008-05-06 13:50:18;远程终结点:211.139.145.18:4248
Tcp Connect,时间:2008-05-06 13:50:18;远程终结点:211.139.148.42:4689
Tcp Connect,时间:2008-05-06 13:50:18;远程终结点:211.139.14.98:51108
Tcp Connect,时间:2008-05-06 13:50:18;远程终结点:211.139.148.40:5165
Tcp Connect,时间:2008-05-06 13:50:18;远程终结点:211.139.148.46:4884
Tcp Connect,时间:2008-05-06 13:50:18;远程终结点:211.136.200.131:8607
Tcp Connect,时间:2008-05-06 13:50:19;远程终结点:218.201.8.131:20881
Tcp Connect,时间:2008-05-06 13:50:19;远程终结点:211.136.228.250:43106
Tcp Connect,时间:2008-05-06 13:50:20;远程终结点:211.139.14.98:55355
Tcp Connect,时间:2008-05-06 13:50:21;远程终结点:211.139.145.19:29234
Tcp Connect,时间:2008-05-06 13:50:24;远程终结点:211.139.14.98:62332
Tcp Connect,时间:2008-05-06 13:50:24;远程终结点:211.139.145.22:62340
Tcp Connect,时间:2008-05-06 13:50:26;远程终结点:218.201.8.130:54666
Tcp Connect,时间:2008-05-06 13:50:30;远程终结点:218.201.8.132:22254
Tcp Connect,时间:2008-05-06 13:50:30;远程终结点:211.139.145.21:4733
Tcp Connect,时间:2008-05-06 13:50:32;远程终结点:211.139.14.98:38402
Tcp Connect,时间:2008-05-06 13:50:32;远程终结点:211.140.16.227:14533
Tcp Connect,时间:2008-05-06 13:50:33;远程终结点:211.136.228.251:18817
Tcp Connect,时间:2008-05-06 13:50:33;远程终结点:211.139.14.98:36156
Tcp Connect,时间:2008-05-06 13:50:33;远程终结点:211.139.14.98:11465
Tcp Connect,时间:2008-05-06 13:50:34;远程终结点:211.139.145.21:4976
Tcp Connect,时间:2008-05-06 13:50:35;远程终结点:218.201.8.130:55176
Tcp Connect,时间:2008-05-06 13:50:37;远程终结点:218.201.8.130:55132
Tcp Connect,时间:2008-05-06 13:50:39;远程终结点:218.201.8.130:55400
Tcp Connect,时间:2008-05-06 13:50:39;远程终结点:218.201.8.131:22185
Tcp Connect,时间:2008-05-06 13:50:40;远程终结点:211.139.14.98:59981
Tcp Connect,时间:2008-05-06 13:50:48;远程终结点:211.136.228.248:10059
Tcp Connect,时间:2008-05-06 13:50:49;远程终结点:211.139.146.222:24880
Tcp Connect,时间:2008-05-06 13:50:55;远程终结点:211.139.146.219:24224
Tcp Connect,时间:2008-05-06 13:51:11;远程终结点:211.139.190.125:47747
Tcp Connect,时间:2008-05-06 13:51:14;远程终结点:218.201.8.130:57333
Tcp Connect,时间:2008-05-06 13:51:19;远程终结点:218.201.8.132:25794
Tcp Connect,时间:2008-05-06 13:51:23;远程终结点:211.138.152.104:35076
Tcp Connect,时间:2008-05-06 13:51:24;远程终结点:211.140.16.219:48746
Tcp Connect,时间:2008-05-06 13:51:25;远程终结点:211.139.14.98:57891
Tcp Connect,时间:2008-05-06 13:51:45;远程终结点:218.201.8.131:27020
Tcp Connect,时间:2008-05-06 13:51:47;远程终结点:211.139.14.98:47948
Tcp Connect,时间:2008-05-06 13:51:51;远程终结点:218.201.8.132:28294
Tcp Connect,时间:2008-05-06 13:52:11;远程终结点:211.139.14.98:32373
Tcp Connect,时间:2008-05-06 13:52:17;远程终结点:211.139.190.125:49728
Tcp Connect,时间:2008-05-06 13:52:37;远程终结点:211.139.190.117:36218
Tcp Connect,时间:2008-05-06 13:52:42;远程终结点:211.136.228.248:12988
Tcp Connect,时间:2008-05-06 13:53:10;远程终结点:218.201.8.132:34811
Tcp Connect,时间:2008-05-06 13:53:14;远程终结点:218.201.8.131:33565
Tcp Connect,时间:2008-05-06 13:53:16;远程终结点:211.138.6.180:26224
Tcp Connect,时间:2008-05-06 13:53:23;远程终结点:218.201.8.130:65195
Tcp Connect,时间:2008-05-06 13:53:40;远程终结点:211.136.228.251:24326
Tcp Connect,时间:2008-05-06 13:54:08;远程终结点:218.207.136.10:19639
Tcp Connect,时间:2008-05-06 13:54:12;远程终结点:211.139.148.43:5478
Tcp Connect,时间:2008-05-06 13:54:12;远程终结点:218.201.8.130:3723
